id,date,user_id
1,2013-04-25 23:00:08.823570,1
2,2013-04-26 01:11:30.198021,1
3,2013-04-26 03:26:46.994729,1
4,2013-04-26 08:09:59.865936,1
5,2013-04-26 10:26:11.673948,1
6,2013-04-26 10:36:04.893730,1
7,2013-04-26 12:24:13.470408,1
8,2013-04-26 18:56:23.028398,1
9,2013-04-28 01:43:49.132395,1
10,2013-04-28 03:57:38.035253,4
11,2013-04-28 07:22:47.161872,2
12,2013-04-28 08:38:34.866172,4
13,2013-04-28 08:55:21.571518,2
14,2013-04-28 10:46:38.628482,1
15,2013-04-28 15:31:31.508956,2
16,2013-04-28 17:05:31.457622,1
17,2013-04-29 00:22:45.524497,10
18,2013-04-29 10:21:01.884374,6
19,2013-04-29 10:23:17.986420,5
20,2013-04-29 10:57:33.630240,5
21,2013-04-29 11:20:07.195630,12
22,2013-04-29 13:57:48.545145,6
23,2013-04-29 14:14:23.953603,9
24,2013-04-29 15:06:21.508549,6
25,2013-04-29 17:49:02.547755,9
26,2013-04-29 20:54:16.770225,1
27,2013-04-29 22:58:14.941205,14
28,2013-04-29 23:21:12.056863,3
29,2013-04-30 03:08:22.862699,4
30,2013-04-30 05:12:52.991934,4
31,2013-04-30 09:30:06.934443,1
32,2013-04-30 14:16:58.216616,13
33,2013-04-30 14:59:24.256638,7
34,2013-04-30 16:50:44.152642,12
35,2013-04-30 19:32:09.446666,14
36,2013-04-30 20:48:59.434383,1
37,2013-05-01 02:52:11.885716,6
38,2013-05-01 04:46:41.894122,15
39,2013-05-01 06:13:13.709392,6
40,2013-05-01 07:09:39.038792,18
41,2013-05-01 10:46:03.831559,1
42,2013-05-01 13:02:20.034369,8
43,2013-05-01 18:34:31.205202,20
44,2013-05-01 22:50:24.964345,24
45,2013-05-02 06:22:47.740547,14
46,2013-05-02 07:44:03.148568,2
47,2013-05-02 13:18:37.668690,8
48,2013-05-03 05:57:28.670529,14
49,2013-05-03 06:53:13.475635,1
50,2013-05-03 13:12:01.423422,23
51,2013-05-03 21:44:08.524607,7
52,2013-05-04 00:18:24.029458,2
53,2013-05-04 03:53:43.081375,8
54,2013-05-04 06:42:43.314905,15
55,2013-05-04 07:13:25.307787,18
56,2013-05-04 07:53:45.542408,8
57,2013-05-04 17:35:52.029523,33
58,2013-05-04 18:10:04.818204,35
59,2013-05-04 20:31:37.062228,23
60,2013-05-05 05:31:10.253353,39
61,2013-05-05 11:04:09.033438,10
62,2013-05-05 18:46:43.946507,22
63,2013-05-05 18:52:47.079097,15
64,2013-05-06 16:16:48.706607,23
65,2013-05-06 17:04:37.125485,26
66,2013-05-06 20:29:08.204778,15
67,2013-05-06 21:02:04.737703,21
68,2013-05-07 10:23:10.045691,32
69,2013-05-07 16:49:04.164443,13
