Video,1999-9-6,5
Video,1999-10-2,5
Video,1999-10-9,5
Video,2000-1-16,5
Video,2000-2-12,5
Video,2001-12-11,3
Video,2001-12-30,3
Video,2003-4-1,5
Video,2003-5-13,2
Video,2004-1-20,4
Video,2004-11-5,3
Video,2005-2-7,4
Video,2005-3-18,3
Video,2000-1-23,5
Video,2000-5-20,5
Video,2000-8-23,5
Video,2000-10-2,5
Video,2001-2-28,5
Video,2001-5-14,5
Video,2003-1-23,5
Video,2003-4-6,4
Video,2004-4-16,4
Video,2004-12-28,5
Video,2005-1-5,1
Video,1998-12-19,5
Video,1999-1-7,5
Video,1999-2-15,5
Video,1999-3-28,5
Video,1999-7-8,5
Video,1999-12-7,5
Video,2000-2-6,5
Video,2000-8-13,5
Video,2000-9-14,5
Video,2003-2-16,5
Video,1999-7-10,5
Video,2000-7-16,5
Video,2002-6-23,5
Video,2003-8-29,1
Video,2005-2-25,4
Video,2005-2-27,5
Video,1999-2-18,5
Video,1999-2-23,5
Video,1999-4-9,5
Video,1999-4-9,5
Video,1999-5-15,5
Video,1999-6-3,3
Video,1999-8-4,5
Video,1999-9-19,5
Video,2000-2-3,5
Video,2000-2-19,5
Video,2000-3-17,5
Video,2003-7-5,2
Video,2004-2-3,3
Video,2004-3-30,1
Video,2004-3-30,3
Video,2004-4-19,4
Video,2004-5-29,3
Video,2004-6-2,5
Video,2004-10-29,5
Video,2000-12-1,5
Video,1998-11-20,5
Video,1998-11-22,5
Video,1998-12-1,5
Video,1998-12-1,1
Video,1998-12-2,5
Video,1998-12-8,4
Video,1998-12-9,5
Video,1998-12-26,5
Video,1998-12-30,5
Video,1999-1-1,5
Video,1999-1-3,3
Video,1999-1-8,5
Video,1999-1-25,5
Video,1999-1-26,2
Video,1999-2-2,5
Video,1999-2-5,4
Video,1999-2-5,4
Video,1999-2-8,5
Video,1999-2-9,1
Video,1999-2-12,1
Video,1999-2-16,1
Video,1999-2-18,5
Video,1999-2-19,5
Video,1999-2-20,3
Video,1999-2-22,5
Video,1999-2-27,5
Video,1999-3-9,2
Video,1999-3-25,5
Video,1999-3-25,5
Video,1999-3-27,4
Video,1999-3-29,5
Video,1999-4-1,5
Video,1999-4-3,2
Video,1999-4-4,5
Video,1999-4-7,5
Video,1999-4-14,1
Video,1999-4-24,5
Video,1999-5-6,5
Video,1999-5-8,5
Video,1999-5-9,5
Video,1999-5-10,5
Video,1999-5-13,5
Video,1999-5-24,1
Video,1999-5-31,4
Video,1999-5-31,5
Video,1999-6-3,5
Video,1999-6-15,4
Video,1999-6-16,4
Video,1999-6-24,4
Video,1999-7-2,4
Video,1999-7-5,3
Video,1999-7-8,5
Video,1999-7-14,4
Video,1999-7-14,1
Video,1999-7-22,5
Video,1999-8-17,1
Video,1999-8-25,5
Video,1999-8-26,5
Video,1999-8-27,5
Video,1999-9-11,4
Video,1999-9-22,5
Video,1999-9-26,5
Video,1999-9-29,5
Video,1999-10-2,5
Video,1999-10-13,5
Video,1999-10-19,5
Video,1999-10-20,3
Video,1999-10-23,5
Video,1999-10-26,1
Video,1999-12-26,3
Video,2000-1-19,4
Video,2000-1-22,5
Video,2000-1-30,5
Video,2000-1-31,5
Video,2000-2-12,1
Video,2000-2-16,5
Video,2000-2-26,4
Video,2000-2-26,4
Video,2000-2-29,5
Video,2000-4-17,1
Video,2000-5-15,4
Video,2000-6-1,4
Video,2000-6-12,2
Video,2000-6-13,4
Video,2000-6-16,3
Video,2000-7-20,1
Video,2000-7-23,5
Video,2000-8-13,5
Video,2000-10-19,5
Video,2000-10-23,5
Video,2000-11-9,5
Video,2000-11-27,5
Video,2000-12-8,3
Video,2000-12-13,3
Video,2001-1-9,5
Video,2001-2-1,5
Video,2001-2-17,5
Video,2001-4-2,4
Video,2001-6-27,5
Video,2001-7-10,5
Video,2001-7-30,4
Video,2001-11-12,2
Video,2001-12-6,4
Video,2001-12-18,2
Video,2001-12-22,5
Video,2002-1-11,5
Video,2002-2-3,3
Video,2002-2-3,5
Video,2002-2-3,5
Video,2002-2-13,5
Video,2002-2-15,5
Video,2002-3-12,5
Video,2002-4-22,4
Video,2002-5-18,5
Video,2002-7-21,5
Video,2002-7-24,5
Video,2002-7-31,3
Video,2002-8-4,3
Video,2002-8-8,4
Video,2002-9-21,5
Video,2002-12-15,5
Video,2002-12-16,5
Video,2003-1-18,1
Video,2003-1-26,5
Video,2003-2-8,4
Video,2003-2-21,4
Video,2003-3-12,4
Video,2003-7-14,5
Video,2003-8-4,4
Video,2003-8-22,4
